"Please enter a TAX/VAT number.","Моля въведете номер по ДДС."
"Please enter a gender.","Моля, въведете пол."
"The password can not begin or end with a space.","Паролата не може да започва или завършва с интервал."
"Admin","Администратор"
"""%1"" invalid type entered.","""%1"" въведен невалиден тип."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" съдържа не-буквени или не-цифрови символи."
"""%1"" is an empty string.","""%1"" е празен низ."
"""%1"" contains non-numeric characters.","""%1"" съдържа не-цифрови символи."
"""%1"" contains non-alphabetic characters.","""%1"" съдържа не-буквени символи."
"""%1"" is not a valid email address.","""%1"" не е валиден имейл адрес."
"""%1"" is not a valid hostname.","""%1"" не е валидно име на хост."
"""%1"" uses too many characters.","""%1"" използва твърде много знаци."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' изглежда като IP адрес, което не е приемлив формат."
"""%1"" is not a valid URL.","""%1"" не е валиден URL."
"""%1"" is not a valid date.","""%1"" не е валидна дата."
"Please enter a valid date between %1 and %2 at %3.","Моля, въведете валидна дата между %1 и %2 в %3."
"Please enter a valid date equal to or greater than %1 at %2.","Моля, въведете валидна дата, равна на или по-голяма от %1 в %2."
"Please enter a valid date less than or equal to %1 at %2.","Моля, въведете валидна дата по-малка или равна на %1 в %2."
"""%1"" is not a valid file extension.","""%1"" не е валидно разширение на файл."
"""%1"" is not a valid file.","""%1"" не е валиден файл."
"""%1"" exceeds the allowed file size.","""%1"" надвишава допустимия размер за файл."
"""%1"" is not a valid image format.","""%1"" не е валиден формат на изображение."
"""%1"" width exceeds allowed value of %2 px.","Широчината на ""%1"" надвишава позволената стойност от %2 пиксела."
"""%1"" height exceeds allowed value of %2 px.","Височината на ""%1"" надвишава позволената стойност от %2 пиксела."
"""%1"" length must be equal or greater than %2 characters.","Дължина на ""%1"" трябва да бъде равна или по-голяма от %2 знака."
"label","етикет"
"Please enter a customer email.","Моля, въведете клиентски имейл."
"Customer Group","Клиентска група"
"You can't delete group \"%1\".","Не може да изтриете група \"%1\"."
"Customer Group already exists.","Клиентската група вече съществува."
"Cannot delete group.","Не може да се изтриете групата."
"Error during VAT Number verification.","Грешка по време на проверка на ДДС номер."
"VAT Number is valid.","ДДС номер е валиден."
"Please enter a valid VAT number.","Моля, въведете валиден номер по ДДС."
"Your VAT ID was successfully validated.","Вашият идентификационен номер по ДДС е успешно потвърден."
"You will be charged tax.","Ще ви се начисли данък."
"You will not be charged tax.","Няма да ви се начислява данък."
"The VAT ID entered (%1) is not a valid VAT ID.","Въведеният идентификационният номер по ДДС (%1) не е валиден идентификационен номер по ДДС."
"Your Tax ID cannot be validated.","Данъчният номер не може да бъде потвърден."
"If you believe this is an error, please contact us at %1","Ако смятате, че това е грешка, моля, свържете се с нас на %1"
"Male","Мъжки пол"
"Female","Женски пол"
"Not Specified","Неопределен"
"Thank you for registering with","Благодаря ви, че се регистрирахте с"
"enter your billing address for proper VAT calculation","въведете вашия адрес за фактуриране за правилното изчисляване на ДДС"
"enter your shipping address for proper VAT calculation","въведете вашия адрес за доставка за правилното изчисляване на ДДС"
"message","съобщение"
"Label","Етикет"
"Select...","Изберете ..."
"Edit","Редактирай"
"Visitor","Посетител"
"Customer","Клиент"
"No item specified.","Не е посочен атрикул."
"Are you sure you want to remove this item?","Сигурни ли сте, че искате да премахнете този артикул?"
"Personal Information","Лична информация"
"Last Logged In:","Последно влязъл в:"
"Last Logged In (%1):","Последно влязъл в (%1):"
"Confirmed email:","Потвърден имейл:"
"Account Created:","Акаунт създаден:"
"Account Created on (%1):","Акаунт създаден на (%1):"
"Account Created in:","Акаунт създаден в:"
"Customer Group:","Клиентска група:"
"Default Billing Address","Адрес за плащане по подразбиране"
"Sales Statistics","Продажби Статистика"
"Store","Магазин"
"Store View","Изглед на магазин"
"Lifetime Sales","Продажбите през живота"
"Average Sale","Средни продажби"
"All Store Views","Всички изгледи на магазини"
"Change","Промяна"
"Manage Addresses","Управление Адреси"
"Default Shipping Address","Адрес за доставка по подразбиране"
"Contact Information","Информация за контакт"
"Change Password","Смяна на Парола"
"Newsletters","Информационни бюлетини"
"You subscribe to ""General Subscription"".","Можете да се абонирате за ""Общи абонаменти""."
"or","или"
"Default Addresses","Адреси по подразбиране"
"Change Billing Address","Промяна на Разплащателния Адрес"
"You have no default billing address in your address book.","Нямате разплащателен адрес по подразбиране в адресната книга."
"Change Shipping Address","Промени адреса за доставка"
"You have no default shipping address in your address book.","Нямате адрес за доставка по подразбиране в адресната книга."
"Additional Address Entries","Допълнителни записи на адрес"
"Delete Address","Изтрий адрес"
"You have no other address entries in your address book.","Нямате други записани адреси в адресната книга."
"* Required Fields","* Задължителни полета"
"Company","Компания"
"Phone Number","Телефонен номер"
"Fax","Факс"
"Address","Адрес"
"Street Address","Адрес"
"Street Address %1","Адрес %1"
"VAT Number","ДДС номер"
"City","Град"
"State/Province","Област"
"Please select a region, state or province.","Моля изберете регион, щат или област."
"Zip/Postal Code","Пощенски Код"
"Country","Държава"
"Use as my default billing address","Използвай като мой основен разплащателен адрес"
"Use as my default shipping address","Използвай като адрес по подразбиране за доставка"
"Save Address","Запази Адрес"
"Go back","Върни се"
"Please enter your email below and we will send you the confirmation link.","Моля, въведете вашия имейл по-долу и ние ще ви изпратим линк за потвърждение."
"Email","Имейл"
"Send confirmation link","Изпрати линк за потвърждение"
"Back to Sign In","Върнете се към Вход"
"Current Password","Настояща Парола"
"New Password","Нова Парола"
"Confirm New Password","Потвърдете Нова Парола"
"Save","Запази"
"Please enter your email address below to receive a password reset link.","Моля, въведете вашия имейл адрес по-долу, за да получите линк за възстановяване на паролата."
"Submit","Подайте"
"Registered Customers","Регистрирани Клиенти"
"If you have an account, sign in with your email address.","Ако имате акаунт, влезте с вашия имейл адрес."
"Password","Парола"
"Login","Влизане"
"Forgot Your Password?","Забравена парола?"
"Subscription option","Опция за абонамент"
"General Subscription","Общи Абонамент"
"Sign Up for Newsletter","Абонирайте се за бюлетин"
"Address Information","Информация за Адрес"
"Sign-in Information","Информация за вход"
"Confirm Password","Потвърдете паролата"
"Create an Account","Създаване на нов акаунт"
"Set a New Password","Задайте нова парола"
"You have signed out and will go to our homepage in 5 seconds.","Вие сте излизали и ще отидете на нашата начална страница след 5 секунди."
"New Customers","Нови Клиенти"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Създаване на акаунт има много предимства: вижте по-бързо, поддържайте повече от един адрес, проследяване на поръчките и други."
"Gender","Пол"
"Name","Име"
"Tax/VAT number","Номер по ДДС"
"Welcome to %store_name.","Добре дошли в %store_name."
"Email:","Имейл:"
"Password:","Парола:"
"Password you set when creating account","Паролата, която сте задали при създаването на профила"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Забравили сте паролата си? <a href=""%reset_url"">Натиснете тук</a>, за да я нулирате."
"When you sign in to your account, you will be able to:","Когато влезете в профила си, вие ще можете да:"
"Proceed through checkout faster","Продължете през процеса на поръчване по-бързо"
"Check the status of orders","Проверка на състоянието на поръчките"
"View past orders","Преглед на последните поръчки"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Трябва да потвърдите %customer_email имейла, преди да можете да влезете (линкът е валиден само веднъж):"
"Confirm Your Account","Потвърдете вашия акаунт"
"Thank you for confirming your %store_name account.","Благодарим Ви, че потвърдихте вашия акаунт в %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","За да влезете в нашия сайт и да зададете парола, кликнете върху <a href=""%create_password_url"">този линк</a>:"
"There was recently a request to change the password for your account.","Наскоро имаше искане за смяна на паролата за профила ви."
"If you requested this change, set a new password here:","Ако вие сте поискали тази промяна, задайте нова парола тук:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Ако не сте направи това искане, можете да пренебрегнете този имейл и паролата ще остане същата."
"The password for your account has been successfully changed.","Паролата за профила ви беше успешно променена."
"If you did not request this change, please contact us.","Ако не сте заявили тази промяна, моля, свържете се с нас."
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Are you sure you want to delete this address?","Сигурни ли сте, че искате да изтриете този адрес?"
"Customer Configuration","Потребителска конфигурация"
"Account Sharing Options","Опции за споделяне на акаунта"
"Share Customer Accounts","Споделете потребителски акаунти"
"Create New Account Options","Създаване на нов акаунт Опции"
"Enable Automatic Assignment to Customer Group","Активиране на автоматично задаване на група клиенти"
"Tax Calculation Based On","Изчисляване на данъци въз основа на"
"Default Group","Група по подразбиране"
"Group for Valid VAT ID - Domestic","Група за Валиден идентификационен номер по ДДС - вътрешен"
"Group for Valid VAT ID - Intra-Union","Група за Валиден идентификационен номер по ДДС - в рамките на Съюза"
"Group for Invalid VAT ID","Група за невалиден идентификационен номер по ДДС"
"Validate on Each Transaction","Валидиране на всяка транзакция"
"Show VAT Number on Storefront","Покажи ДДС номер в Магазина"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","За да покажете номер по ДДС в Магазина, избрете опцията Покажи ДДС номер в Магазина."
"Default Email Domain","Основен Email Домейн"
"Default Welcome Email","Default Welcome Email"
"Email Sender","Изпращач"
"Require Emails Confirmation","Изискване за потвърждение на електронни съобщения"
"Confirmation Link Email","Линк за потвърждаване на имейл"
"Welcome Email","Имейл за добре дошли"
"Password Options","Парола Опции"
"Forgot Email Template","Забравили сте Email шаблона"
"Remind Email Template","Имейл шаблон за напомняне"
"Reset Password Template","Шаблон за нулиране на паролата"
"Password Template Email Sender","Password Template Email Sender"
"Please enter a number 1 or greater in this field.","Моля въведете цифра 1 или по-голяма в това поле."
"Name and Address Options","Опции за име и адрес"
"Leave empty for default (2). Valid range: 1-4","Оставете празно за стойност по подразбиране (2). Валиден обхват: 1-4"
"Show Prefix","Покажи Обръщение"
"The title that goes before name (Mr., Mrs., etc.)","Обръщение (г-н, г-жа, и т.н.)"
"Show Middle Name (initial)","Покажи бащино име (инициал)"
"Always optional.","Винаги по желание."
"Show Suffix","Покажи Наставка"
"The suffix that goes after name (Jr., Sr., etc.)","Наставката (младши, старши, и т.н.)"
"Show Date of Birth","Покажи Дата на раждане"
"Show Tax/VAT Number","Покажи ДДС номер"
"Show Gender","Покажи Пол"
"Login Options","Опции за вход"
"Address Templates","Шаблони за адрес"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Customer Grid","Таблица с клиенти"
"Group","Група"
"Add New Customer","Добави нова клиент"
"Delete items","Изтрий елементи"
"Are you sure to delete selected customers?","Сигурен ли си, че искаш да изтриеш избраните клиенти?"
"Subscribe to Newsletter","Абонамент за бюлетин"
"Unsubscribe from Newsletter","Отписване от бюлетин"
"Are you sure to unsubscribe selected customers from newsletter?","Сигурен ли си, че искаш да отпишеш избраните клиенти от бюлетина?"
"Phone","Телефон"
"ZIP","Пощенски код"
"Customer Since","Клиент от"
"Last Logged In","Последно влизал"
"Confirmed email","Потвърден имейл"
"Account Created in","Акаунт създаден в"
"Tax VAT Number","Номер по ДДС"
"Billing Firstname","Собствено име при плащане"
"Billing Lastname","Фамилно име при плащане"
"First Name","Собствено име"
"Last Name","Фамилилно име"
"Last Activity","Последна Дейност"
"Type","Тип"
"Customer Information","Информация за клиента"
"Send Welcome Email From","Изпрати имейл за добре дошли от"
"Addresses","Адреси"
"Are you sure you want to delete this item?","Сигурни ли сте че искате да изтриете този елемент?"
"Account Dashboard","Акаунт табло"
"Edit Account Information","Редактиране на информацията на профила"
"Password forgotten","Забравена парола"
"My Dashboard","Моето табло"
"You are signed out.","Вие сте излезли от профила си.""Store Credit","Склад за кредит"
"Date","Дата"
"Website","Уебсайт"
"Action","Действие"
"Balance Change","Промяна на баланса"
"Balance","Баланс"
"Customer notified","Клиента е уведомен"
"Notified","Уведомен/а"
"No","Не"
"More information","Повече информация"
"Update Balance","Актуализирай баланса"
"An amount on which to change the balance","Сумата, върху която да промени баланса"
"Notify Customer by Email","Уведоми клиента по имейл"
"Comment","Коментар"
"Please set a website ID.","Моля, задайте ИН на уебсайта."
"By admin: %1.","От администратора: %1."
"By admin: %1. (%2)","От администратора: %1. (%2)"
"Please also set the Store ID.","Моля, задайте и ИН на магазина"
"Please enter a store ID to send email notifications.","Моля, въведете ИН на магазина за изпращане на известия по имейл."
"Please specify a customer ID.","Моля, посочете ИН на клиента."
"Please specify a valid customer.","Моля, посочете валиден клиент."
"Created","Създаден"
"Updated","Обновен"
"Used","Използван"
"Refunded","Върнато"
"Reverted","Възвръщане"
"You need a balance to save your balance history.","Имате нужда от баланс, за да запазите историята на баланса си."
"Order #%1","Поръчка #%1"
"Order #%1, creditmemo #%2","Поръчка #%1, Кредитно #%2"
"Balance History","История на баланса"
"Use Store Credit (%1 available)","Използвайте Store Credit ( %1 е налична)"
"Your balance is:","Вашият баланс е:"
"Use Store Credit","Използвайте Store Credit"
"available","на разположение"
"Remove","Премахни""Add New Attribute","Add New Attribute"
"Save and Continue Edit","Запази и продължи редакцията"
"Save Attribute","Запази Атрибут"
"Delete Attribute","Изтрий атрибута"
"Input Type","Input Type"
"None","None"
"Minimum Text Length","Минимална дължина на текста"
"Maximum Text Length","Максимална дължина на текста"
"File Extensions","Файлови разширения"
"Comma separated","Разделен със запетая"
"Minimal value","Минимална стойност"
"Maximum value","Максимална стойност"
"Use in Search Option","Use in Search Option"
"Show on Storefront","Покажи в магазина"
"Sort Order","Sort Order"
"Properties","Свойства"
"Manage Label / Options","Управление Етикет / Опции"
"Attribute Information","Атрибути Информация"
"Visible to Customer","Вижда се от Клиента"
"No","Не"
"Yes","Да"
"Customer Attributes","Клиентски атрибути"
"Edit Customer Attribute ""%1""","Редактирай клиентски атрибут ""%1"""
"New Customer Attribute","Нов клиентски атрибут"
"Manage Form Types","Управление на видовете форма"
"New Form Type","Нов вид форма"
"Edit Form Type ""%1""","Редактирай вида форма ""%1"""
"General Information","Основна информация"
"-- Please Select --","-- Моля, изберете --"
"Based On","Базирано на"
"All Themes","Всички теми"
"For Theme","За тема"
"Store View","Изглед на магазин"
"Form Code","Код на формата"
"Form Title","Заглавие на формата"
"General","Общи"
"Save","Запази"
"Remove","Премахни"
"Cancel","Отмени"
"Attributes","Attributes"
"Label","Етикет"
"Theme","Тема"
"System","Система."
"Customer","Клиент"
"You cannot delete this attribute.","Не можете да изтриете този атрибут."
"This attribute no longer exists.","Този атрибут вече не съществува."
"You cannot edit this attribute.","Не може да редактирате този атрибут."
"You saved the customer address attribute.","Запазихте адреса на клиента."
"We can't save the customer address attribute right now.","В момента не можем да запазим адреса на клиента."
"An attribute with this code already exists.","Атрибут с този код вече съществува."
"Manage Customer Attributes","Управление на атрибути на клиенти"
"You deleted the customer attribute.","Изтрихте клиентския атрибут."
"The attribute no longer exists.","Атрибутът вече не съществува."
"Edit Customer Attribute","Редактирай клиентски атрибут."
"You saved the customer attribute.","Клиентският атрибут е запазен."
"This system form type cannot be deleted.","Този тип система форма не може да бъде изтрита."
"The form type has been deleted.","Типът на форма е била изтрита."
"Customer Address Registration","Регистрация на клиентски адрес"
"Customer Registration","Регистрация на клиенти"
"Use Default Value","Използвай стойност по подразбиране"
"Choose Website:","Изберете уебсайт:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"* Required Fields","* Задължителни полета"
"Contact Information","Contact Information"
"Company","Компания"
"Phone Number","Телефонен номер"
"Fax","Факс"
"Address","Адрес"
"Street Address","Адрес"
"Street Address %1","Адрес %1"
"VAT Number","Номер по ДДС"
"City","Град"
"State/Province","Щат / Провинция"
"Please select a region, state or province.","Моля изберете регион, щат или област."
"Zip/Postal Code","Пощенски Код"
"Country","Държава"
"Default Billing Address","Разплащателен адрес по подразбиране"
"Use as my default billing address","Използвай като мой основен разплащателен адрес"
"Default Shipping Address","Адрес за доставка по подразбиране"
"Use as my default shipping address","Използвай като адрес по подразбиране за доставка"
"Save Address","Запази Адрес"
"Go back","Върни се"
"Account Information","Информация за акаунта"
"Email","Имейл"
"Change Password","Смяна на Парола"
"Current Password","Настояща Парола"
"New Password","Нова Парола"
"Confirm New Password","Потвърдете Нова Парола"
"Personal Information","Лична информация"
"Sign Up for Newsletter","Абонирайте се за бюлетин"
"Address Information","Информация за Адрес"
"Sign-in Information","Информация за вход"
"Password","Парола"
"Confirm Password","Потвърдете паролата"
"Create an Account","Създаване на нов акаунт"
"Back","Назад"
"Default Values","Стандартни ценности""Month","Месец"
"Year","Година"
"N/A","N/A"
"Credit Card Type","Тип кредитна карта"
"Credit Card Number","Номер на кредитна карта"
"Switch/Solo/Maestro Issue Number","Номер на издаване Switch / Solo / Maestro"
"Switch/Solo/Maestro Start Date","Начална дата Switch / Solo / Maestro"
"Discount","Отстъпка"
"Shipping","В процес на доставка"
"All Allowed Countries","Всички разрешени държави"
"Specific Countries","Определени държави"
"The payment method you requested is not available.","Методът за плащане, който се избрали, не е активен."
"The payment disallows storing objects.","Плащането забранява съхраняване на данни."
"We cannot retrieve the payment method code.","Не можем да извлечем кода за начина на плащане."
"We cannot retrieve the payment information object instance.","Не можем да извлечем информация за плащането."
"You can't use the payment type you selected to make payments to the billing country.","Не можете да използвате начина на плащане, който сте избрали за извършване на плащания към държавата за фактуриране."
"The order action is not available.","Действието за поръчка не е на разположение."
"The refund action is not available.","Действието на възстановяване не е на разположение."
"The payment review action is unavailable.","Действието за преглед на плащане не е на разположение."
"The credit card number doesn't match the credit card type.","Номерът на кредитната карта не съответства на типа на кредитна карта."
"Invalid Credit Card Number","Невалиден номер на кредитна карта"
"This credit card type is not allowed for this payment method.","Този тип кредитна карта не е позволен за този метод на плащане."
"Please enter a valid credit card verification number.","Моля, въведете валиден номер за проверка на кредитната карта."
"Please enter a valid credit card expiration date.","Моля, въведете валидна дата на кредитната карта."
"Yes","Да"
"No","Не"
"Expiration Date","Изтича на"
"Card Verification Number","Номер на проверката на картата"
"Switch/Solo/Maestro Only","Само Switch/Solo/Maestro"
"Issue Number","Номер на издаване"
"Start Date","Стартова дата"
"Please Select","Моля изберете"
"We'll ask for your payment details before you place an order.","Ще ви попитаме за вашите данни за плащане, преди да направите поръчка."
"--Please Select--","--Моля, изберете--"
"Card Verification Number Visual Reference","Номер за верификация на картата"
"What is this?","Какво е това?"
"Credit Card Information","Информация за кредитна карта"
"Payment Methods","Методи на плащане""Not you?","Не си ти?"
"Your shopping cart has been updated with new prices.","Вашата пазарска количка е актуализирана с нови цени."
"Welcome, %1!","Добре дошъл, %1!"
"Method ""%1"" is not defined in ""%2""","Метод ""%1"" не е дефиниран в ""%2"""
"To check out, please sign in using your email address.","За да се продължите, моля влезте с имейл адреса си."
"Remember Me","Запомни ме"
"What's this?","Какво е това?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Изберете &quot;Запомни меquot; за достъп до Вашата пазарска кошница на този компютър, дори ако не сте влезли."
"Persistent Shopping Cart","Постоянна кошница"
"General Options","Основни параметри"
"Enable Persistence","Активирай Постоянна кошница"
"Persistence Lifetime (seconds)","Срок за постоянна кошница (секунди)"
"Enable ""Remember Me""","Активиране на ""Запомни ме"""
"""Remember Me"" Default Value","""Запомни ме"" Стойност по подразбиране"
"Clear Persistence on Sign Out","Изчисти постоянната кошница при изход"
"Persist Shopping Cart","Постоянна кошница""We can't find the product.","Не можем да намерим продукта."
"You will no longer receive price alerts for this product.","Вече няма да получавате сигнали цена за този продукт."
"You will no longer receive stock alerts for this product.","Вече няма да получавате сигнали за наличността на този продукт."
"The product was not found.","Продуктът не е намерен."
"You will no longer receive stock alerts.","Вече няма да получавате сигнали на наличност."
"Invalid block type: %1","Невалиден вид блок: %1"
"Price change alert! We wanted you to know that prices have changed for these products:","Сигнал промяна в цената! Искаме да те уведомим, че цените са се променили за тези продукти:"
"Price:","Цена:"
"Click here to stop alerts for this product.","Кликнете тук, за да спрете сигналите за този продукт."
"Unsubscribe from all price alerts","Откажи се от всички ценови предупреждения"
"In stock alert! We wanted you to know that these products are now available:","Предупреждение за наличност! Искаме да те уведомим, че тези продукти вече са в наличност."
"Unsubscribe from all stock alerts","Откажи се от всички складови предупреждения"
"Product Alerts","Продуктови предупреждения"
"Price Alert Email Template","Имейл шаблон за цена"
"Stock Alert Email Template","Имейл шаблон"
"Alert Email Sender","Предупреждение Имейл подател"
"Product Alerts Run Settings","Настройки за изпращане на продуктови предупреждения"
"Frequency","Честота"
"Start Time","Време на започване"
"Error Email Recipient","Получател на имейл за грешка"
"Error Email Sender","Подател на имейл за грешка"
"Error Email Template","Имейл шаблон за грешка"
"Sign up for price alert","Влезте в системата за предупреждение за цена"
"Sign up to be notified when this product is back in stock.","Регистрирайте се, за да получите известие, когато този продукт се върне в наличност.""Update Product Preview Image","Актуализация на изображението на продукта "
"Filtering by this attribute will update the product image on catalog page","Филтриране по този атрибут ще актуализира изображението на продукта върху продуктовата страница"
"Use Product Image for Swatch if Possible","Използвайте изображение на продукта за мостра, ако е възможно"
"Visual Swatch","Визуална Мостра"
"Text Swatch","Текстова Мостра"
"Manage Swatch (values of your attribute)","Управление на мострите (стойности на атрибутите)"
"Is Default","е по подразбиране"
"Add Swatch","Добави Мостра"
"Delete","Изтриване"
"Swatch","Мостра"
"Sort Variations","Вариации за подредба"
"Options","Опции"
"Select All","Избери всички"
"Deselect All","Отмени всички"
"Remove Attribute","Изтрий атрибут"
"Save Option","Запази опция"
"Remove Option","Изтрий опция"
"Create New Value","Създай нова стойност""Tax Rate Information","Информация за данъчна ставка"
"Tax Identifier","Tax Identifier"
"Zip/Post Code","Пощенски код"
"Range From","Диапазон от"
"Range To","Диапазон до"
"State","Област"
"Country","Държава"
"Tax Titles","Tax Titles"
"Add New Tax Rate","Добави нова данъчна ставка"
"Back","Назад"
"Reset","Отново"
"Delete Rate","Изтрий ставка"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Save Rate","Запази ставка"
"Manage Tax Rules","Управление на данъчни правила"
"Add New Tax Rule","Добави ново данъчно правило"
"Save Rule","Запази правило"
"Delete Rule","Изтрий правило"
"Save and Continue Edit","Запази и продължи редакцията"
"Tax Rule Information","Информация за данъчно правило"
"Name","Име"
"Customer Tax Class","Клиентски данъчен клас"
"Product Tax Class","Продуктов данъчен клас"
"Tax Rate","Данъчна ставка"
"Priority","Приоритет"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Sort Order","Sort Order"
"Do you really want to delete this tax class?","Наистина ли искате да изтриете този данъчен клас?"
"Add New Tax Class","Добави нов данъчен клас"
"Shipping Incl. Tax (%1)","Доставка с ДДС (%1)"
"Shipping Excl. Tax (%1)","Доставка без ДДС (%1)"
"Subtotal (Excl.Tax)","Междинна сума (без ДДС)"
"Subtotal (Incl.Tax)","Междинна сума (с ДДС)"
"Shipping & Handling (Excl.Tax)","Доставка & обработка (без ДДС)"
"Shipping & Handling (Incl.Tax)","Доставка & обработка (с ДДС)"
"Sales","Продажби"
"Tax","Данък"
"Manage Tax Rates","Управление на данъчни ставки"
"New Tax Rate","Нова данъчна ставка"
"You deleted the tax rate.","Изтрихте данъчната ставка"
"Edit Tax Rate","Редактирай данъчна ставка"
"Tax Rules","Данъчни правила"
"The tax rule has been deleted.","Правилото за данък е било изтрито."
"This rule no longer exists.","Това правило вече не съществува."
"Something went wrong deleting this tax rule.","Нещо се обърка при изтриването на това данъчно правило."
"New Tax Rule","Ново данъчно правило"
"Edit Rule","Редактирай правило"
"New Rule","Ново правило"
"Maximum zip code length is 9.","Максимална дължина на пощенски код е 9."
"Use digits only for the zip code.","Използвайте само цифри за пощенския код."
"This class no longer exists.","Този клас вече не съществува."
"Custom price if available","Custom price if available"
"Original price only","Original price only"
"Shipping Address","Адрес за доставка"
"Billing Address","Адрес за плащане"
"No (price without tax)","Не (цена без данък)"
"Yes (only price with tax)","Да (само цена с данък)"
"Both (without and with tax)","И двете (с и без данък)"
"Code","Код"
"Shipping (Excl. Tax)","Доставка (без ДДС)"
"Shipping (Incl. Tax)","Доставка (с ДДС)"
"Subtotal (Excl. Tax)","Междинна сума (без ДДС)"
"Subtotal (Incl. Tax)","Междинна сума (с ДДС)"
"Subtotal","Междинна сума"
"Unit Price","Единична цена"
"Row Total","Редове общо"
"Total","Обща сума"
"Before Discount","Преди Отстъпка"
"After Discount","След Отстъпка"
"Excluding Tax","без ДДС"
"Including Tax","с ДДС"
"None","None"
"customer group","група клиенти"
"product","продукт"
"Excl. tax:","без ДДС:"
"Incl. Tax","с ДДС"
"Entity already exists","Обектът вече съществува"
"Something went wrong","Нещо се обърка"
"Excl. Tax","Без ДДС"
"Note:","Забележка:"
"An error occurred","Възникна грешка"
"Do you really want to delete this tax rate?","Наистина ли искате да изтриете тази данъчна ставка?"
"Save","Запази"
"Add New Class","Добави нов клас"
"Tax Classes","Данъчни класове"
"Tax Class for Shipping","Данъчен клас за доставка"
"Calculation Settings","Настройки на изчисление"
"Tax Calculation Method Based On","Метод за изчисляване на данъци въз основа на"
"Tax Calculation Based On","Изчисляване на данъци въз основа на"
"Catalog Prices","Цени в каталога"
"Shipping Prices","Цени за доставка"
"Apply Tax On","Apply Tax On"
"Default Country","Държава по подразбиране"
"Default State","Област по подразбиране"
"Default Post Code","Пощенски код по подразбиране"
"Display Shipping Prices","Display Shipping Prices"
"Shopping Cart Display Settings","Shopping Cart Display Settings"
"Display Prices","Покажи цени"
"Display Subtotal","Покажи междинна сума"
"Display Shipping Amount","Покажи сумата за доставка"
"Include Tax In Order Total","Включи данък в общата сума на поръчката"
"Display Full Tax Summary","Покажи пълно данъчно резюме"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"State/Region","Област/Регион"
"Rate","Rate"
"Subtotal Only","Само междинна сума"
"(Excl. Tax)","(без ДДС)"
"(Incl. Tax)","(с ДДС)"
"Order Total Excl. Tax","Обща сума на поръчката без ДДС"
"Order Total Incl. Tax","Обща сума на поръчката с ДДС"
"Order Total","Обща сума на поръчката"
"Your credit card will be charged for","Вашата кредитна карта ще бъде таксувана за""Themes","Теми"
"Save and Continue Edit","Запази и продължи редакцията"
"Are you sure you want to delete this theme?","Сигурни ли сте че искате да изтриете тази тема?"
"Theme: %1","Тема: %1"
"New Theme","Нова Тема"
"Custom CSS","Персонализиран CSS"
"Select CSS File to Upload","Изберете CSS файл за качване"
"Upload CSS File","Качване на CSS файла"
"Download CSS File","Свали CSS файла"
"Upload Images","Качване на снимки"
"Upload Fonts","Качи Шрифтове"
"Allowed file types *.css.","Позволени файлови типове * .css."
"Max file size to upload %1M","Максимален размер на файла, за качване %1M"
"Something is wrong with the file upload settings.","Нещо не е наред с настройките на качване на файлове."
"General","Общи"
"Copy of %1","Копие на %1"
"Max image size %1M","Максимален размер на изображението %1M"
"Select JS Files to Upload","Изберете JS файлове за качване"
"Upload JS Files","Качване на JS файлове"
"Allowed file types *.js.","Позволени файлови типове * .js."
"Theme","Тема"
"Create Folder","Създай папка"
"Delete Folder","Изтриване на папката"
"Delete File","Изтрий файла"
"Insert File","Добави файл"
"New Folder Name:","Ново име за папка:"
"Are you sure you want to delete this folder?","Сигурни ли сте, че искате да изтриете тази папка?"
"Are you sure you want to delete this file?","Сигурни ли сте, че искате да изтриете този файл?"
"You deleted the theme.","Изтрихте темата."
"We cannot delete the theme.","Темата не може да бъде изтрита."
"File not found: ""%1"".","Файлът не е намерен: ""%1""."
"We can't find file.","Не можем да намерим файла."
"We cannot find theme ""%1"".","Не можем да намерим тема ""%1""."
"We cannot find the theme.","Не можем да намерим темата."
"This theme is not editable.","Тази тема не може да се редактира."
"You saved the theme.","Темата е запазена."
"Sorry, something went wrong. That's all we know.","Съжаляваме, нещо се обърка. Това е всичко, което знаем."
"Invalid type","Невалиден тип"
"-- Please Select --","-- Моля, изберете --"
